Region,Year,TotalPopulation,MalePopulation,FemalePopulation
East Asia & Pacific,1960,1010130132,513536900,496593232
East Asia & Pacific,1961,1012551714,514475765,498075949
East Asia & Pacific,1962,1025828908,521062273,504766635
East Asia & Pacific,1963,1050382676,533454662,516928014
East Asia & Pacific,1964,1074551531,545637181,528914350
East Asia & Pacific,1965,1099756724,558329878,541426846
East Asia & Pacific,1966,1128372828,572750092,555622736
East Asia & Pacific,1967,1156025996,586657131,569368865
East Asia & Pacific,1968,1184087351,600788083,583299268
East Asia & Pacific,1969,1215674460,616715191,598959269
East Asia & Pacific,1970,1247296779,632727750,614569029
East Asia & Pacific,1971,1279913768,649298539,630615229
East Asia & Pacific,1972,1310759113,665004542,645754571
East Asia & Pacific,1973,1340064836,679961390,660103446
East Asia & Pacific,1974,1369204480,694806880,674397600
East Asia & Pacific,1975,1395365547,708115394,687250153
East Asia & Pacific,1976,1418595187,719919975,698675212
East Asia & Pacific,1977,1440480009,731013105,709466904
East Asia & Pacific,1978,1462252139,742033295,720218844
East Asia & Pacific,1979,1484382964,753226157,731156807
East Asia & Pacific,1980,1505991978,764139513,741852465
East Asia & Pacific,1981,1528274909,775383691,752891218
East Asia & Pacific,1982,1552739168,787734080,765005088
East Asia & Pacific,1983,1577163324,800070434,777092890
East Asia & Pacific,1984,1600385315,811823936,788561379
East Asia & Pacific,1985,1624327171,823995518,800331653
East Asia & Pacific,1986,1650046393,837132718,812913675
East Asia & Pacific,1987,1677290064,851100620,826189444
East Asia & Pacific,1988,1704819720,865242159,839577561
East Asia & Pacific,1989,1731752346,879070102,852682244
East Asia & Pacific,1990,1757750415,892394832,865355583
East Asia & Pacific,1991,1782770665,905181027,877589638
East Asia & Pacific,1992,1806096259,917072856,889023403
East Asia & Pacific,1993,1828612692,928523025,900089667
East Asia & Pacific,1994,1851197008,939983352,911213656
East Asia & Pacific,1995,1873458345,951260837,922197508
East Asia & Pacific,1996,1895418152,962367874,933050278
East Asia & Pacific,1997,1916865831,973202888,943662943
East Asia & Pacific,1998,1937550501,983646920,953903581
East Asia & Pacific,1999,1956940218,993448251,963491967
East Asia & Pacific,2000,1975392868,1002820054,972572814
East Asia & Pacific,2001,1993199591,1011905734,981293758
East Asia & Pacific,2002,2010088727,1020561847,989526979
East Asia & Pacific,2003,2026228020,1028876770,997351152
East Asia & Pacific,2004,2041890095,1036987756,1004902241
East Asia & Pacific,2005,2057373466,1045055093,1012318471
East Asia & Pacific,2006,2072711419,1053088248,1019623073
East Asia & Pacific,2007,2087475286,1060865014,1026610272
East Asia & Pacific,2008,2102483052,1068773898,1033709154
East Asia & Pacific,2009,2117057011,1076443202,1040613809
East Asia & Pacific,2010,2131440207,1083964633,1047475574
East Asia & Pacific,2011,2145738406,1091380291,1054358115
East Asia & Pacific,2012,2160287796,1098866362,1061421434
East Asia & Pacific,2013,2174858404,1106343123,1068515281
East Asia & Pacific,2014,2189670766,1113881225,1075789640
East Asia & Pacific,2015,2204417093,1121369421,1083047672
East Asia & Pacific,2016,2188275278,1112915138,1075360140
East Asia & Pacific,2017,2200760000,1119224000,1081533000
East Asia & Pacific,2018,2212506000,1125141000,1087367000
East Asia & Pacific,2019,2223492000,1130645000,1092849000
East Asia & Pacific,2020,2233711000,1135728000,1097982000
Europe & Central Asia,1960,659375212,312451807,346923405
Europe & Central Asia,1961,667030825,316461872,350568953
Europe & Central Asia,1962,674922042,320598433,354323609
Europe & Central Asia,1963,682876099,324766022,358110077
Europe & Central Asia,1964,690752085,328880796,361871289
Europe & Central Asia,1965,698391809,332851453,365540356
Europe & Central Asia,1966,705042450,336330058,368712392
Europe & Central Asia,1967,711506385,339690967,371815418
Europe & Central Asia,1968,717718602,342905084,374813518
Europe & Central Asia,1969,723809746,346044974,377764772
Europe & Central Asia,1970,729378350,348931908,380446442
Europe & Central Asia,1971,734962760,351823886,383138874
Europe & Central Asia,1972,741094184,354972882,386121302
Europe & Central Asia,1973,747072872,358042742,389030130
Europe & Central Asia,1974,752833207,361000473,391832734
Europe & Central Asia,1975,758395031,363855684,394539347
Europe & Central Asia,1976,763814492,366630342,397184150
Europe & Central Asia,1977,768993326,369280680,399712646
Europe & Central Asia,1978,774124810,371899391,402225419
Europe & Central Asia,1979,779280788,374520586,404760202
Europe & Central Asia,1980,784628302,377225248,407403054
Europe & Central Asia,1981,789827946,379846000,409981946
Europe & Central Asia,1982,794516413,382212941,412303472
Europe & Central Asia,1983,799003722,384487285,414516437
Europe & Central Asia,1984,803701610,386881279,416820331
Europe & Central Asia,1985,808511998,389363017,419148981
Europe & Central Asia,1986,813447763,391945768,421501995
Europe & Central Asia,1987,818442340,394588951,423853389
Europe & Central Asia,1988,823485386,397266061,426219325
Europe & Central Asia,1989,828581960,399950036,428631924
Europe & Central Asia,1990,840508277,405978037,434530240
Europe & Central Asia,1991,843797655,407701601,436096054
Europe & Central Asia,1992,847238234,409461876,437776358
Europe & Central Asia,1993,850306907,411012467,439294440
Europe & Central Asia,1994,852232225,411989122,440243103
Europe & Central Asia,1995,853826507,412788530,441037977
Europe & Central Asia,1996,855093242,413421199,441672043
Europe & Central Asia,1997,856523374,414117943,442405431
Europe & Central Asia,1998,857763983,414711705,443052278
Europe & Central Asia,1999,859108330,415353023,443755307
Europe & Central Asia,2000,860089991,415823610,444266381
Europe & Central Asia,2001,861395110,416454237,444940873
